Material_ID,Material_Name,Chemical_Formula,Category,T_min_K,T_max_K,a,b,c,R_squared,Cp_Unit,Original_Equation_Type,Source_Database
MAT144,Fused Silica Glass,SiO2,Glasses,298,1800,66.804233,0.00839936,-2365962.840657,0.997298,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
MAT145,Borosilicate Glass (Pyrex),SiO2-B2O3-Na2O-Al2O3,Glasses,273,800,898.57624,0.44023548,-4810401.564693,0.99921,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Materials Database - Borosilicate
MAT146,Soda-Lime Glass,SiO2-Na2O-CaO,Glasses,273,800,840.0,0.78,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Glasses
MAT147,Aluminosilicate Glass,SiO2-Al2O3-CaO-MgO,Glasses,273,900,780.0,0.72,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Corning Gorilla Glass Property Sheet
MAT148,Lead Crystal Glass,SiO2-PbO-K2O,Glasses,273,750,500.0,0.45,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Optical Glasses
MAT149,Fluoride Glass (ZBLAN),ZrF4-BaF2-LaF3-AlF3-NaF,Glasses,200,600,620.0,0.58,0.0,1.0,J/(kg*K),Polynomial,MatWeb — Optical Fluoride Glass Technical Data
MAT150,Chalcogenide Glass (Ge33As12Se55),Ge33As12Se55,Glasses,200,500,360.0,0.28,0.0,1.0,J/(kg*K),Polynomial,Springer Open Data — SpringerMaterials Chalcogenide Database
MAT151,96% Silica Glass (Vycor),SiO2-B2O3,Glasses,273,1100,740.0,0.82,0.0,1.0,J/(kg*K),Polynomial,MatWeb — Corning Vycor Glass Datasheet
MAT152,E-Glass (Alumino-borosilicate),SiO2-Al2O3-B2O3-CaO,Glasses,273,900,800.0,0.75,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Fiber Glass Compositions
MAT153,S-Glass (High Strength),SiO2-Al2O3-MgO,Glasses,273,950,735.0,0.78,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AGY S-Glass Technical Summary
MAT154,Glass Ceramic (Zerodur),SiO2-Al2O3-Li2O,Glasses,200,600,820.0,0.65,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Schott Zerodur Glass Ceramic Data
MAT155,Glass Ceramic (Macor),SiO2-Al2O3-MgO-K2O-F,Glasses,200,800,790.0,0.68,0.0,1.0,J/(kg*K),Polynomial,Corning Technical Database — Corning Macor Machinable Glass
MAT156,Phosphate Glass,P2O5-Al2O3-Na2O,Glasses,273,700,710.0,0.62,-0.0,1.0,J/(kg*K),Polynomial,Springer Open Data — Laser Phosphate Glass Properties
MAT157,Germanate Glass,GeO2-PbO,Glasses,273,750,480.0,0.38,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — Infrared Glasses Handbook
MAT158,Tellurite Glass,TeO2-WO3-La2O3,Glasses,273,650,390.0,0.32,-0.0,1.0,J/(kg*K),Polynomial,Springer Open Data — Non-Oxide Glass Materials Data
MAT159,Magnesia (Periclase),MgO,Refractories,298,2000,48.549167,0.00360158,-964523.377307,0.999452,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables (1998)
MAT160,Zirconia (Monoclinic),ZrO2,Refractories,298,1478,71.888596,0.00681203,-1543347.281595,0.999726,J/(mol*K),Shomate,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
MAT161,Hafnium Carbide,HfC,Refractories,298,2500,50.148589,0.00381329,-1216810.653124,0.99826,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT162,Tantalum Carbide,TaC,Refractories,298,2500,49.708147,0.00435926,-1149774.4556,0.997822,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-1986)
MAT163,Spinel,MgAl2O4,Refractories,298,2000,162.99838,0.01454994,-4935347.035264,0.99849,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT164,Chromite,FeCr2O4,Refractories,298,1800,164.133989,0.01378858,-4357402.095825,0.999069,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT165,Forsterite,Mg2SiO4,Refractories,298,1800,159.254074,0.01623685,-4602102.084978,0.998749,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT166,Enstatite,MgSiO3,Refractories,298,1600,95.048532,0.01214135,-2307782.764215,0.998933,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT167,Calcium Oxide (Lime),CaO,Refractories,298,2000,50.570232,0.00291237,-842150.300474,0.999589,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT168,Dolomite (Calcined),CaO-MgO,Refractories,298,1800,880.0,0.22,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — Refractory Raw Materials Data
MAT169,Aluminum Titanate,Al2TiO5,Refractories,298,1600,185.405795,0.01931371,-4715689.521619,0.999304,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-5234)
MAT170,Hafnium Diboride,HfB2,Refractories,298,2200,72.655261,0.00672139,-2337989.783755,0.996241,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-2326)
MAT171,Tantalum Diboride,TaB2,Refractories,298,2200,73.692918,0.00663138,-2244683.678445,0.996345,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-2780)
MAT172,Hafnia,HfO2,Refractories,298,2000,75.153864,0.0054097,-1525110.460071,0.999066,J/(mol*K),Shomate,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
MAT173,Thoria,ThO2,Refractories,298,2500,74.595826,0.00499887,-1444419.6103,0.995794,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT174,Carbon Fiber / Epoxy (CFRP UD),C/Epoxy,Composite materials,200,450,900.0,2.1,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Composite Materials Data
MAT175,Glass Fiber / Epoxy (GFRP),Glass/Epoxy,Composite materials,200,450,850.0,1.85,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Composite Material Property Data
MAT176,Aramid / Epoxy (Kevlar/Epoxy),Aramid/Epoxy,Composite materials,200,450,1100.0,2.4,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — DuPont Kevlar Composites Guide
MAT177,Carbon/Carbon Composite (C/C),C/C,Composite materials,298,2000,1238.92612,0.43410713,-35663487.20424,0.981025,J/(kg*K),Polynomial,MatWeb — MatWeb C/C High-Temp Properties
MAT178,Alumina / Silicon Carbide (Al2O3/SiC),Al2O3-SiC,Composite materials,298,1400,780.0,0.42,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — Ceramic Matrix Composites Data
MAT179,Silicon Carbide / Silicon Carbide (SiC/SiC),SiC/SiC,Composite materials,298,1600,680.0,0.48,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — Nuclear Grade SiC/SiC Composites
MAT180,Al/SiC Metal Matrix Composite (20% SiC),Al-20SiC,Composite materials,298,800,820.0,0.41,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb MMC Aluminum Matrix Data
MAT181,Al/Al2O3 Metal Matrix Composite,Al-Al2O3,Composite materials,298,800,840.0,0.38,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb MMC Properties
MAT182,Tungsten Carbide / Cobalt (WC-6Co),WC-6Co,Composite materials,298,1000,220.0,0.12,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — Cemented Carbides Handbook
MAT183,Tungsten Carbide / Cobalt (WC-12Co),WC-12Co,Composite materials,298,1000,245.0,0.14,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — Cemented Carbides Handbook
MAT184,TiC-Ni Cermet,TiC-Ni,Composite materials,298,1100,460.0,0.22,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Cermet Tool Materials
MAT185,Wood-Plastic Composite (WPC),Wood-HDPE,Composite materials,200,360,1500.0,3.8,0.0,1.0,J/(kg*K),Polynomial,MatWeb — WPC Material Property Datasheet
MAT186,Basalt Fiber / Epoxy Composite,Basalt/Epoxy,Composite materials,200,450,870.0,1.75,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — Basalt Fiber Composites Data
MAT187,Boron / Aluminum Composite,B/Al,Composite materials,298,750,810.0,0.35,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Aerospace Boron MMC Data
MAT188,Carbon Fiber / PEEK (AS4/PEEK),AS4/PEEK,Composite materials,200,550,1050.0,2.15,0.0,1.0,J/(kg*K),Polynomial,MatWeb — Victrex PEEK Composite Materials
MAT189,Lithium Cobalt Oxide (LCO),LiCoO2,Other technologically relevant materials,298,1000,80.68001,0.0122081,-1709522.162174,0.999691,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-22526)
MAT190,Lithium Iron Phosphate (LFP),LiFePO4,Other technologically relevant materials,298,1000,151.845261,0.0219794,-3231695.0905,0.999798,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-19017)
MAT191,Lithium Manganese Oxide (LMO),LiMn2O4,Other technologically relevant materials,298,1000,165.329227,0.02325562,-3532713.612434,0.999799,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-22584)
MAT192,Lithium Titanate (LTO),Li4Ti5O12,Other technologically relevant materials,298,1100,405.757453,0.05064335,-8342705.02386,0.999778,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-768653)
MAT193,Lithium Nickel Manganese Cobalt (NMC111),LiNi0.33Mn0.33Co0.33O2,Other technologically relevant materials,298,600,820.0,0.45,0.0,1.0,J/(kg*K),Polynomial,Springer Open Data — Battery Materials Handbook
MAT194,Lithium Nickel Cobalt Al Oxide (NCA),LiNi0.8Co0.15Al0.05O2,Other technologically relevant materials,298,600,840.0,0.48,-0.0,1.0,J/(kg*K),Polynomial,Springer Open Data — Battery Materials Handbook
MAT195,Graphite (Synthetic),C,Other technologically relevant materials,298,3000,32.179522,0.00203513,-1368916.068834,0.964443,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT196,Solid Electrolyte LLZO,Li7La3Zr2O12,Other technologically relevant materials,298,1000,442.781594,0.05765463,-9418235.05657,0.999847,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-942733)
MAT197,Solid Electrolyte LGPS,Li10GeP2S12,Other technologically relevant materials,298,800,542.432905,0.08432854,-10969066.388955,0.999962,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-696128)
MAT198,Solid Electrolyte NaSICON,Na3Zr2Si2PO12,Other technologically relevant materials,298,1000,411.551711,0.05512632,-8472568.730053,0.999903,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-777322)
MAT199,Bismuth Telluride,Bi2Te3,Other technologically relevant materials,298,850,120.959241,0.0153565,-1214181.421986,0.999961,J/(mol*K),Shomate,Springer Open Data — SpringerMaterials Thermoelectrics
MAT200,Lead Telluride (Thermoelectric),PbTe,Other technologically relevant materials,298,1000,49.332474,0.0037467,-149003.734897,0.999984,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-1979)
MAT201,Cobalt Antimonide (Skutterudite),CoSb3,Other technologically relevant materials,298,900,98.542099,0.01313601,-1328397.606915,0.999968,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT202,Silicon Germanium (p-type TE),Si0.7Ge0.3,Other technologically relevant materials,298,1300,23.786962,0.00303775,-318360.209397,0.999623,J/(mol*K),Shomate,NASA Glenn Thermodynamic Database — NASA High-Temp Thermoelectrics
MAT203,Tin Selenide,SnSe,Other technologically relevant materials,298,950,48.692006,0.0054973,-271717.205469,0.999968,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-2691)
MAT204,YBCO Superconductor,YBa2Cu3O7,Other technologically relevant materials,200,800,283.706836,0.05802944,-5376747.25055,0.999962,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-20674)
MAT205,BSCCO Superconductor,Bi2Sr2CaCu2O8,Other technologically relevant materials,200,800,319.820533,0.06398488,-6304953.458369,0.999962,J/(mol*K),Shomate,Springer Open Data — High-Tc Superconductors Database
MAT206,Magnesium Diboride,MgB2,Other technologically relevant materials,200,800,51.392288,0.01894884,-1181584.503616,0.999923,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-763)
MAT207,Niobium-Titanium (Superconductor),Nb-47Ti,Other technologically relevant materials,100,600,380.0,0.25,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Superconducting Alloys
MAT208,Niobium-Tin (Nb3Sn),Nb3Sn,Other technologically relevant materials,100,800,93.36637,0.01442611,-857938.705851,0.99998,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT209,Uranium Dioxide (Nuclear Fuel),UO2,Other technologically relevant materials,298,2500,73.577685,0.0062081,-1820560.155651,0.992859,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT210,Plutonium Dioxide,PuO2,Other technologically relevant materials,298,2000,72.313519,0.00750734,-1569168.733646,0.996939,J/(mol*K),Shomate,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
MAT211,Thorium Dioxide,ThO2,Other technologically relevant materials,298,2500,74.595826,0.00499887,-1444419.6103,0.995794,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT212,Zircaloy-4 (Nuclear Cladding),Zr-1.5Sn-0.2Fe-0.1Cr,Other technologically relevant materials,298,1200,285.0,0.11,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Nuclear Materials Data
MAT213,Lithium Hydride,LiH,Other technologically relevant materials,298,950,34.330514,0.01708035,-681344.759794,0.999587,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT214,Sodium Metal (Coolant),Na,Other technologically relevant materials,298,371,27.031854,0.00143863,-80937.386542,1.0,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT215,Lead-Bismuth Eutectic (LBE),45Pb-55Bi,Other technologically relevant materials,400,1000,146.0,0.015,-0.0,1.0,J/(kg*K),Polynomial,OECD/NEA Handbook — Handbook on Lead-bismuth Eutectic
MAT216,Liquid Gallium,Ga,Other technologically relevant materials,303,1000,385.0,-0.035,-0.0,1.0,J/(kg*K),Polynomial,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
MAT217,Diamond (Crystalline),C,Other technologically relevant materials,298,1500,23.057484,0.00634642,-871247.347235,0.9851,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT218,Graphene (Monolayer),C,Other technologically relevant materials,200,1000,761.770244,1.26641318,-5384872.406702,0.999005,J/(kg*K),Polynomial,Springer Open Data — 2D Materials Property Handbook
MAT219,Hexagonal Boron Nitride (h-BN),BN,Other technologically relevant materials,298,1800,32.818929,0.00748159,-1390945.067385,0.994764,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT220,MAX Phase (Ti3SiC2),Ti3SiC2,Other technologically relevant materials,298,1500,146.135533,0.02104141,-3432483.704669,0.999086,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-2303)
MAT221,MAX Phase (Ti2AlC),Ti2AlC,Other technologically relevant materials,298,1500,105.094906,0.01539256,-2306374.793607,0.999311,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-3186)
MAT222,MAX Phase (Cr2AlC),Cr2AlC,Other technologically relevant materials,298,1500,109.580842,0.01648042,-2554967.717665,0.999246,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-3185)
MAT223,MXene (Ti3C2Tx),Ti3C2T,Other technologically relevant materials,200,800,620.0,0.45,-0.0,1.0,J/(kg*K),Polynomial,Springer Open Data — 2D MXenes Property Database
MAT224,Barium Ferrite (Permanent Magnet),BaFe12O19,Other technologically relevant materials,298,1200,726.813637,0.10274895,-16748236.03272,0.999688,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-24831)
MAT225,Strontium Ferrite,SrFe12O19,Other technologically relevant materials,298,1200,719.098009,0.09993243,-16102664.426746,0.99968,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-24832)
MAT226,Neodymium Magnet (Nd2Fe14B),Nd2Fe14B,Other technologically relevant materials,298,600,440.0,0.18,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Permanent Magnet Data
MAT227,Samarium-Cobalt (SmCo5),SmCo5,Other technologically relevant materials,298,700,370.0,0.15,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb SmCo Magnetic Materials
MAT228,Alnico 5 (Magnetic Alloy),Al-Ni-Co-Fe-Cu,Other technologically relevant materials,298,800,460.0,0.21,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Magnetic Alloys Data
MAT229,Permalloy (Ni80Fe20),Ni80Fe20,Other technologically relevant materials,298,800,450.0,0.22,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Soft Magnetic Alloys
MAT230,Mu-Metal,Ni77Fe16Cu5Mo2,Other technologically relevant materials,298,800,430.0,0.24,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Shielding Materials Data
MAT231,Iron-Silicon Electrical Steel (Fe-3%Si),Fe-3Si,Other technologically relevant materials,298,1000,460.0,0.26,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Electrical Steels
MAT232,Amorphous Metal (Metglas 2605SA1),Fe-Si-B,Other technologically relevant materials,298,650,480.0,0.25,0.0,1.0,J/(kg*K),Polynomial,MatWeb — Metglas Inc. Technical Data
MAT233,Ferrite (Mn-Zn Ferrite),Mn0.5Zn0.5Fe2O4,Other technologically relevant materials,298,600,750.0,0.35,0.0,1.0,J/(kg*K),Polynomial,MatWeb — Fair-Rite MnZn Ferrite Specs
MAT234,Lanthanum Hexaboride,LaB6,Other technologically relevant materials,298,1800,115.616626,0.01189417,-2880156.1585,0.998792,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-1840)
MAT235,Cerium Hexaboride,CeB6,Other technologically relevant materials,298,1800,115.105008,0.01213823,-2821001.85052,0.998729,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT236,Barium Fluoride (Optical),BaF2,Other technologically relevant materials,298,1500,71.182009,0.00713108,-999050.696528,0.999376,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT237,Calcium Fluoride (Fluorite),CaF2,Other technologically relevant materials,298,1600,69.664914,0.00707674,-1064539.508001,0.999409,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT238,Magnesium Fluoride,MgF2,Other technologically relevant materials,298,1500,68.11214,0.00774435,-1327470.888146,0.9994,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT239,Lithium Fluoride,LiF,Other technologically relevant materials,298,1100,43.892113,0.0096749,-766390.447606,0.999761,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT240,Zinc Sulfide (CVD Cleartran),ZnS,Other technologically relevant materials,298,1200,45.235872,0.0062667,-531393.21823,0.999878,J/(mol*K),Shomate,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
MAT241,Sapphire (Synthetic Al2O3),Al2O3,Other technologically relevant materials,298,1800,116.481385,0.01160473,-3801625.172082,0.997787,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT242,YAG (Yttrium Aluminum Garnet),Y3Al5O12,Other technologically relevant materials,298,1600,443.589901,0.04150996,-9748468.243898,0.998759,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-3082)
MAT243,Nd:YAG Laser Crystal,Nd:Y3Al5O12,Other technologically relevant materials,298,1000,600.0,0.45,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — Laser Crystal Materials Data
MAT244,Lithium Niobate,LiNbO3,Other technologically relevant materials,298,1400,115.000472,0.01297963,-2491652.04537,0.999379,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-3731)
MAT245,Lithium Tantalate,LiTaO3,Other technologically relevant materials,298,1400,115.373275,0.01218951,-2254397.178798,0.999412,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-3694)
MAT246,Potassium Titanyl Phosphate (KTP),KTiOPO4,Other technologically relevant materials,298,1200,174.354231,0.02206849,-3867670.951732,0.99972,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-5415)
MAT247,Beta-Barium Borate (BBO),BaB2O4,Other technologically relevant materials,298,1100,141.850396,0.02124426,-3042778.733018,0.999835,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-8422)
MAT248,Germanium Dioxide (Rutile),GeO2,Other technologically relevant materials,298,1300,69.110986,0.00827177,-1532916.5551,0.999591,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT249,Tellurium Dioxide (Paratellurite),TeO2,Other technologically relevant materials,298,1000,67.894116,0.01077646,-1547227.75713,0.999901,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT250,Vanadium(IV) Oxide (VO2),VO2,Other technologically relevant materials,298,900,65.629279,0.01162194,-1368830.85951,0.999926,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-315)
MAT251,Tungsten Trioxide (Electrochromic),WO3,Other technologically relevant materials,298,1400,78.843969,0.01120787,-1981794.364456,0.999151,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT252,Indium Tin Oxide (ITO),In2O3-10SnO2,Other technologically relevant materials,298,900,380.0,0.18,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Transparent Conducting Oxides
MAT253,Fluorine-Doped Tin Oxide (FTO),SnO2:F,Other technologically relevant materials,298,900,350.0,0.19,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb TCO Thin Films
