Material_ID,Material_Name,Chemical_Formula,Category,T_min_K,T_max_K,a,b,c,Cp_Unit,Original_Equation_Type
MAT212,Zircaloy-4 (Nuclear Cladding),Zr-1.5Sn-0.2Fe-0.1Cr,Other technologically relevant materials,298,1200,285.0,0.11,-0.0,J/(kg*K),Polynomial
MAT213,Lithium Hydride,LiH,Other technologically relevant materials,298,950,34.330514,0.01708035,-681344.759794,J/(mol*K),Shomate
MAT214,Sodium Metal (Coolant),Na,Other technologically relevant materials,298,371,27.031854,0.00143863,-80937.386542,J/(mol*K),Shomate
MAT215,Lead-Bismuth Eutectic (LBE),45Pb-55Bi,Other technologically relevant materials,400,1000,146.0,0.015,-0.0,J/(kg*K),Polynomial
MAT216,Liquid Gallium,Ga,Other technologically relevant materials,303,1000,385.0,-0.035,-0.0,J/(kg*K),Polynomial
MAT217,Diamond (Crystalline),C,Other technologically relevant materials,298,1500,23.057484,0.00634642,-871247.347235,J/(mol*K),Shomate
MAT218,Graphene (Monolayer),C,Other technologically relevant materials,200,1000,761.770244,1.26641318,-5384872.406702,J/(kg*K),Polynomial
MAT219,Hexagonal Boron Nitride (h-BN),BN,Other technologically relevant materials,298,1800,32.818929,0.00748159,-1390945.067385,J/(mol*K),Shomate
MAT220,MAX Phase (Ti3SiC2),Ti3SiC2,Other technologically relevant materials,298,1500,146.135533,0.02104141,-3432483.704669,J/(mol*K),Shomate
MAT221,MAX Phase (Ti2AlC),Ti2AlC,Other technologically relevant materials,298,1500,105.094906,0.01539256,-2306374.793607,J/(mol*K),Shomate
MAT222,MAX Phase (Cr2AlC),Cr2AlC,Other technologically relevant materials,298,1500,109.580842,0.01648042,-2554967.717665,J/(mol*K),Shomate
MAT223,MXene (Ti3C2Tx),Ti3C2T,Other technologically relevant materials,200,800,620.0,0.45,-0.0,J/(kg*K),Polynomial
MAT224,Barium Ferrite (Permanent Magnet),BaFe12O19,Other technologically relevant materials,298,1200,726.813637,0.10274895,-16748236.03272,J/(mol*K),Shomate
MAT225,Strontium Ferrite,SrFe12O19,Other technologically relevant materials,298,1200,719.098009,0.09993243,-16102664.426746,J/(mol*K),Shomate
MAT233,Ferrite (Mn-Zn Ferrite),Mn0.5Zn0.5Fe2O4,Other technologically relevant materials,298,600,750.0,0.35,0.0,J/(kg*K),Polynomial
MAT234,Lanthanum Hexaboride,LaB6,Other technologically relevant materials,298,1800,115.616626,0.01189417,-2880156.1585,J/(mol*K),Shomate
MAT235,Cerium Hexaboride,CeB6,Other technologically relevant materials,298,1800,115.105008,0.01213823,-2821001.85052,J/(mol*K),Shomate
MAT236,Barium Fluoride (Optical),BaF2,Other technologically relevant materials,298,1500,71.182009,0.00713108,-999050.696528,J/(mol*K),Shomate
